reference,method,n_blocks,mean_final_hv,mean_delta_vs_greedy,wins_vs_greedy,median_delta_vs_greedy
default,greedy_mean,25,202.98594482421876,0.0,0,0.0
default,analytic_ehvi,25,206.08928161621094,3.1033367919921875,24,3.225128173828125
default,analytic_pomhi,25,205.88445129394532,2.8985064697265623,23,2.766204833984375
default,qnehvi_mc,25,205.97022399902343,2.9842791748046875,24,3.158599853515625
default,qnparego_mc,25,203.68559020996094,0.6996453857421875,13,0.1827545166015625
default,random,25,194.96553100585936,-8.020413818359375,1,-8.70263671875
adaptive_tight,greedy_mean,25,52.140404510498044,0.0,0,0.0
adaptive_tight,analytic_ehvi,25,53.21102584838867,1.070621337890625,24,0.9668540954589844
adaptive_tight,analytic_pomhi,25,53.072066192626956,0.9316616821289062,23,0.845977783203125
adaptive_tight,qnehvi_mc,25,53.133699340820314,0.9932948303222656,24,0.7793502807617188
adaptive_tight,qnparego_mc,25,52.35792633056641,0.21752182006835938,13,0.023868560791015625
adaptive_tight,random,25,48.914662017822266,-3.2257424926757814,1,-3.198394775390625
adaptive_loose,greedy_mean,25,175.5730615234375,0.0,0,0.0
adaptive_loose,analytic_ehvi,25,177.10832092285156,1.5352593994140624,24,1.3978424072265625
adaptive_loose,analytic_pomhi,25,176.80668151855468,1.2336199951171876,22,1.1455535888671875
adaptive_loose,qnehvi_mc,25,176.9781524658203,1.4050909423828124,24,1.3735504150390625
adaptive_loose,qnparego_mc,25,175.23101684570312,-0.342044677734375,10,-0.1705322265625
adaptive_loose,random,25,168.97669494628906,-6.596366577148437,0,-6.6534576416015625
