seed,method,pool_n,train_n,top_k,selected_true_hvi_sum,selected_true_hvi_mean,true_hvi_retention,topk_true_hvi_recall,selected_positive_hvi_fraction,score_spearman_true_hvi,qed_mae,sa_mae
42,exact_descriptor_reference,2000,500,50,208.61923381521873,4.172384676304374,1.0,1.0,1.0,1.0,0.0,0.0
42,ecfp_descriptor_surrogate,2000,500,50,122.73322969584962,2.454664593916992,0.5883121486514454,0.24,0.6,0.3420535358536934,0.13928037470640714,0.3004964594059128
42,random_pool_control,2000,500,50,1.875010361404315,0.0375002072280863,0.008987715691953295,0.04,0.1,-0.00981433455916632,0.13928037470640714,0.3004964594059128
43,exact_descriptor_reference,2000,500,50,140.48967075883613,2.8097934151767223,1.0,1.0,1.0,1.0,0.0,0.0
43,ecfp_descriptor_surrogate,2000,500,50,58.532216506222674,1.1706443301244536,0.4166300354329877,0.24,0.58,0.272032148556563,0.13831757607116388,0.31012226740311905
43,random_pool_control,2000,500,50,1.447415552242568,0.02894831104485136,0.010302647478811409,0.04,0.1,-0.013457503125606644,0.13831757607116388,0.31012226740311905
44,exact_descriptor_reference,2000,500,50,151.47594480972126,3.0295188961944253,1.0,1.0,1.0,0.9999999999999998,0.0,0.0
44,ecfp_descriptor_surrogate,2000,500,50,91.03155906941531,1.8206311813883063,0.6009637978080674,0.4,0.56,0.30289687583551067,0.13720056832748542,0.29508888639144404
44,random_pool_control,2000,500,50,0.0985101210902955,0.00197020242180591,0.0006503350826696638,0.0,0.08,-0.030068897377126532,0.13720056832748542,0.29508888639144404
45,exact_descriptor_reference,2000,500,50,211.41166594018242,4.228233318803649,1.0,1.0,1.0,1.0,0.0,0.0
45,ecfp_descriptor_surrogate,2000,500,50,178.7846047125547,3.575692094251094,0.8456704785777559,0.36,0.56,0.34744022146808295,0.13889848326765564,0.3236322943253015
45,random_pool_control,2000,500,50,5.534599563628443,0.11069199127256885,0.026179253349218782,0.04,0.06,-0.0007687137780079477,0.13889848326765564,0.3236322943253015
46,exact_descriptor_reference,2000,500,50,258.4674350641842,5.169348701283684,1.0,1.0,1.0,1.0,0.0,0.0
46,ecfp_descriptor_surrogate,2000,500,50,137.7947679298333,2.7558953585966663,0.5331223559966666,0.34,0.62,0.32628531028222296,0.13989549504969925,0.3301582459653146
46,random_pool_control,2000,500,50,0.38436724248111825,0.007687344849622365,0.0014871012372822511,0.0,0.1,0.004839583899032721,0.13989549504969925,0.3301582459653146
