baseline,metric,analytic_pomhi_mean,baseline_mean,mean_diff,better_pairs,n_pairs,sign_test_p
random,round1_front_yield,0.15600000000000003,0.106,0.049999999999999996,13,15,0.00738525390625
random,front_yield_auc5,0.11746666666666669,0.07306666666666667,0.04440000000000001,14,15,0.0009765625
random,joint_top10_hit_auc5,0.17053333333333331,0.06146666666666667,0.10906666666666667,15,15,6.103515625e-05
random,joint_top10_hits5,85.26666666666667,30.733333333333334,54.53333333333333,15,15,6.103515625e-05
random,round1_mean_dock,-8.1072,-7.953200000000001,-0.15399999999999914,14,15,0.0009765625
random,round1_mean_sa,2.43617564283563,2.616192634396126,-0.180016991560496,15,15,6.103515625e-05
random,final_selected_front_count,54.4,33.4,21.0,13,15,0.00738525390625
random,final_selected_front_mean_dock,-9.835420325622781,-9.217675473243524,-0.6177448523792611,14,15,0.0009765625
qpmhi_mc_bnn,round1_front_yield,0.15600000000000003,0.1466666666666667,0.00933333333333333,8,15,1.0
qpmhi_mc_bnn,front_yield_auc5,0.11746666666666669,0.10146666666666668,0.016,10,15,0.3017578125
qpmhi_mc_bnn,joint_top10_hit_auc5,0.17053333333333331,0.06613333333333334,0.1044,15,15,6.103515625e-05
qpmhi_mc_bnn,joint_top10_hits5,85.26666666666667,33.06666666666667,52.2,15,15,6.103515625e-05
qpmhi_mc_bnn,round1_mean_dock,-8.1072,-7.932999999999999,-0.17419999999999974,11,15,0.11846923828125
qpmhi_mc_bnn,round1_mean_sa,2.43617564283563,2.430022876143548,0.006152766692081416,5,15,0.3017578125
qpmhi_mc_bnn,final_selected_front_count,54.4,40.733333333333334,13.666666666666666,13,15,0.00738525390625
qpmhi_mc_bnn,final_selected_front_mean_dock,-9.835420325622781,-9.14044146080284,-0.6949788648199426,15,15,6.103515625e-05
analytic_ehvi,round1_front_yield,0.15600000000000003,0.14266666666666666,0.01333333333333333,10,15,0.3017578125
analytic_ehvi,front_yield_auc5,0.11746666666666669,0.12866666666666665,-0.011199999999999998,1,15,0.0009765625
analytic_ehvi,joint_top10_hit_auc5,0.17053333333333331,0.1585333333333333,0.012000000000000004,11,15,0.11846923828125
analytic_ehvi,joint_top10_hits5,85.26666666666667,79.26666666666667,6.0,11,15,0.11846923828125
analytic_ehvi,round1_mean_dock,-8.1072,-8.002600000000001,-0.10459999999999994,13,15,0.00738525390625
analytic_ehvi,round1_mean_sa,2.43617564283563,2.4996494619377616,-0.06347381910213074,12,15,0.03515625
analytic_ehvi,final_selected_front_count,54.4,57.666666666666664,-3.2666666666666666,2,15,0.00738525390625
analytic_ehvi,final_selected_front_mean_dock,-9.835420325622781,-9.765593124049555,-0.06982720157322635,11,15,0.11846923828125
