panel_id,exact_id,compound_name,cell_line,inhibition_fraction,inhibition_pct
M1,T9335,"1,1'-Methylenedi-2-naphthol",HCT116,0.3855060755999865,38.55060755999865
M2,T61189,E7016,HCT116,-0.05651486081658752,-5.651486081658752
M3,T12502,PLpro inhibitor,HCT116,-0.17361281610606416,-17.361281610606415
M4,T6853,GSK591,HCT116,0.2915848269089125,29.15848269089125
M5,T6980,Scriptaid,HCT116,0.9874478271544316,98.74478271544316
M6,T60904,ERCC1-XPF-IN-2,HCT116,-0.16219616989933705,-16.219616989933705
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW620,0.4169581098935262,41.69581098935262
M2,T61189,E7016,SW620,0.22876350353617791,22.87635035361779
M3,T12502,PLpro inhibitor,SW620,-0.06793627540743463,-6.793627540743463
M4,T6853,GSK591,SW620,-0.11495147408899475,-11.495147408899475
M5,T6980,Scriptaid,SW620,0.6357809924922175,63.57809924922175
M6,T60904,ERCC1-XPF-IN-2,SW620,0.21854971616919983,21.854971616919983
M1,T9335,"1,1'-Methylenedi-2-naphthol",DLD-1,-0.05333253524077475,-5.333253524077475
M2,T61189,E7016,DLD-1,0.6021907640738635,60.21907640738635
M3,T12502,PLpro inhibitor,DLD-1,0.07053494391716997,7.053494391716997
M4,T6853,GSK591,DLD-1,0.029551337359792984,2.9551337359792984
M5,T6980,Scriptaid,DLD-1,0.922624183409343,92.2624183409343
M6,T60904,ERCC1-XPF-IN-2,DLD-1,0.16350301984469384,16.350301984469382
M1,T9335,"1,1'-Methylenedi-2-naphthol",HT-29,0.16925423331117284,16.925423331117283
M2,T61189,E7016,HT-29,0.3548160025028352,35.48160025028352
M3,T12502,PLpro inhibitor,HT-29,0.06718762118979293,6.718762118979294
M4,T6853,GSK591,HT-29,0.20059334522609173,20.059334522609173
M5,T6980,Scriptaid,HT-29,0.8986659427596371,89.8665942759637
M6,T60904,ERCC1-XPF-IN-2,HT-29,-0.0007562243077638975,-0.07562243077638975
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,0.27996149526712666,27.996149526712667
M2,T61189,E7016,SW480,0.4695170864752126,46.951708647521265
M3,T12502,PLpro inhibitor,SW480,0.06808951182607326,6.808951182607325
M4,T6853,GSK591,SW480,0.14617344907223073,14.617344907223073
M5,T6980,Scriptaid,SW480,0.7817153778768814,78.17153778768814
M6,T60904,ERCC1-XPF-IN-2,SW480,0.24356932388309305,24.356932388309303
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,0.14217393564485103,14.217393564485103
M2,T61189,E7016,LoVo,0.9075739460414826,90.75739460414826
M3,T12502,PLpro inhibitor,LoVo,0.055271688368770944,5.527168836877094
M4,T6853,GSK591,LoVo,0.27693533322344943,27.693533322344944
M5,T6980,Scriptaid,LoVo,0.9556068347892973,95.56068347892973
M6,T60904,ERCC1-XPF-IN-2,LoVo,0.25056315587055666,25.056315587055668
